dataset,task_id,system,slot,trial_name,status,contract_issue,original,focus_50,focus_60,focus_70,pass_60
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,1,P15-A-POLICY-EIA-001__oPBiPJb,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,0.0,0.0,0.0,0.0,False
P15_V3,P15-A-POLICY-EIA-001,qwen38max,1,P15-A-POLICY-EIA-001__B4fogHm,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,2,P15-A-POLICY-EIA-001__Rf4votW,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,36.0,33.95804195804196,31.580419580419584,29.202797202797203,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,1,P15-A-POLICY-EIA-001__fDP2yAZ,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,36.0,33.95804195804196,31.580419580419584,29.202797202797203,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,3,P15-A-POLICY-EIA-001__C63wtJL,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,2,P15-A-POLICY-EIA-001__2VZzoSo,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,4,P15-A-POLICY-EIA-001__5kQePNu,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,48.0,47.59440559440559,47.94405594405595,48.29370629370629,False
P15_V3,P15-A-POLICY-EIA-001,qwen38max,2,P15-A-POLICY-EIA-001__kGJHJUL,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,3,P15-A-POLICY-EIA-001__mvPJSFt,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,qwen38max,3,P15-A-POLICY-EIA-001__FWmJ2wQ,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,5,P15-A-POLICY-EIA-001__wbJ82s9,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,qwen38max,4,P15-A-POLICY-EIA-001__aHyb7oo,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,6,P15-A-POLICY-EIA-001__wDzj5Yy,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,4,P15-A-POLICY-EIA-001__Z8iiEoB,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,qwen38max,5,P15-A-POLICY-EIA-001__epgmdAe,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,5,P15-A-POLICY-EIA-001__sLXLXvU,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,qwen38max,6,P15-A-POLICY-EIA-001__KyHuixJ,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,6,P15-A-POLICY-EIA-001__pckN2qQ,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,qwen38max,7,P15-A-POLICY-EIA-001__mZ6QDyY,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,7,P15-A-POLICY-EIA-001__SccKBiG,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,7,P15-A-POLICY-EIA-001__6HXj2nG,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,0.0,0.0,0.0,0.0,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,8,P15-A-POLICY-EIA-001__6TAnvow,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-POLICY-EIA-001,qwen38max,8,P15-A-POLICY-EIA-001__8UnRqEn,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,8,P15-A-POLICY-EIA-001__4eXuMHW,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,100.0,100.0,100.0,100.0,True
