task,system,configuration,actual_model_ids,attempts,scoreable_workbooks,confirmed_nondelivery,infra_failures,pending,mean_denominator,mean_score,passes,pass_at_1,pass_at_8,pass_at_k_note,difficulty_result,ability_interpretation
A1,Opus 5,638cc5460598,claude-opus-5,8,6,0,0,2,6,0.5362397855007748251666666667,1,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A1,GPT-5.6 sol,ab813a092965,requested_only,8,8,0,0,0,8,0.904508224864419503,7,0.875,1,complete homogeneous group,NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A1,Qwen 3.8,2a1351dd898f,requested_only,3,0,3,0,0,3,0,0,0,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A1,Qwen 3.8,92db2633dd65,requested_only,5,0,0,5,0,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A2,Opus 5,638cc5460598,claude-opus-5,6,0,0,0,6,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A2,Opus 5,638cc5460598,claude-opus-5-thinking-high,2,0,1,0,1,1,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A2,GPT-5.6 sol,ab813a092965,requested_only,8,5,0,0,3,5,0.9059354590856703803303880138,5,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A2,Qwen 3.8,2a1351dd898f,requested_only,2,0,1,0,1,1,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
A2,Qwen 3.8,92db2633dd65,requested_only,6,0,2,4,0,2,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B1,Opus 5,638cc5460598,claude-opus-5,6,3,0,0,3,3,0.5633816733573401412166666667,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B1,Opus 5,638cc5460598,claude-opus-5-thinking-high,2,0,1,0,1,1,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B1,GPT-5.6 sol,ab813a092965,requested_only,8,8,0,0,0,8,0.92732604847491609069375,7,0.875,1,complete homogeneous group,NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B1,Qwen 3.8,2a1351dd898f,requested_only,4,0,3,0,1,3,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B1,Qwen 3.8,92db2633dd65,requested_only,4,0,1,3,0,1,0,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B2,Opus 5,638cc5460598,claude-opus-5,7,2,0,0,5,2,0.5580764790764790865,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B2,Opus 5,638cc5460598,claude-opus-5-thinking-high,1,0,1,0,0,1,0,0,0,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B2,GPT-5.6 sol,d8e0d8176c6e,requested_only,8,3,0,0,5,3,0.9185714285714285716666666667,3,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
B2,Qwen 3.8,92db2633dd65,requested_only,6,0,0,6,0,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
C1,Opus 5,638cc5460598,claude-opus-5-thinking-high,1,0,1,0,0,1,0,0,0,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
C1,Opus 5,7595ef810cea,claude-opus-5,7,2,0,0,5,2,0.4275552870751546248234989957,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
C1,GPT-5.6 sol,d8e0d8176c6e,requested_only,8,0,0,0,8,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
C1,Qwen 3.8,92db2633dd65,requested_only,4,0,0,4,0,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,See low-score audit; unreviewed totals are not proof of ability
C2,Opus 5,638cc5460598,claude-opus-5,6,0,0,0,6,0,,0,,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,C2 Judge false-negative found; no low-ability conclusion
C2,Opus 5,638cc5460598,claude-opus-5-thinking-high,2,0,2,0,0,2,0,0,0,,"unresolved outcomes, fewer than 8 same-configuration samples, or unverified Qwen identity; no pass@8",NOT_VERIFIED,C2 Judge false-negative found; no low-ability conclusion
