task,task_version,system,config_id,observed_model_ids,judge_version,judge_source_commit,attempts_in_subset,scored_n,pending_n,mean_score_60,passing_60,pass_at_1,pass_at_8,pass_at_k_note
A1,new6-a1-v1.1-historical-rate,claude,638cc5460598,claude-opus-5,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,2,1,1,0.625936563226431475757575757575757575757575757576,0,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
A2,new6-a2-v1.0-zambia,claude,638cc5460598,claude-opus-5,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,6,2,4,0.304763149016809951026126931756183072537504285714,0,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
A2,new6-a2-v1.0-zambia,claude,638cc5460598,claude-opus-5-thinking-high,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,1,0,1,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
A2,new6-a2-v1.0-zambia,codex,ab813a092965,,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,3,2,1,0.994006915097963887821744141375336150595455,2,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
A2,new6-a2-v1.0-zambia,qwen,2a1351dd898f,,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,1,0,1,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
B1,new6-b1-v2,claude,638cc5460598,claude-opus-5,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,3,0,3,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
B1,new6-b1-v2,claude,638cc5460598,claude-opus-5-thinking-high,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,1,0,1,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
B1,new6-b1-v2,qwen,2a1351dd898f,,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,1,0,1,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
B2,new6-b2-three-release-v3,claude,638cc5460598,claude-opus-5,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,5,1,4,0.5615858585858586,0,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
B2,new6-b2-three-release-v3,codex,d8e0d8176c6e,,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,5,5,0,0.8968214285714285784,5,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
C1,new6-c1-revision-v2,claude,7595ef810cea,claude-opus-5,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,5,0,5,,,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
C1,new6-c1-revision-v2,codex,d8e0d8176c6e,,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,8,8,0,0.891181140972387733113330579498157960582381730769,8,1,1,Audited complete eight-trial configuration; requested model identity recorded
C2,new6-c2-natural-v2,claude,638cc5460598,claude-opus-5,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,6,3,3,0.549549260263545977831692117393535353535353535354,0,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
C2,new6-c2-natural-v2,codex,ab813a092965,,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,5,5,0,0.946500166500166500166500166494787878787878787879,5,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
C2,new6-c2-natural-v2,qwen,2a1351dd898f,,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,2,2,0,0.442657342657342657342657342656060606060606060606,0,,,"Incomplete or selected configuration subset, or unverified Qwen identity; no estimate"
