task,task_version,system,config_id,response_identity,attempts,scored_n,unscored_n,missing_n,judge_pending_n,judge_execution_error_n,run_collection_pending_n,configuration_count,scope,mean_original,passes_original,descriptive_pass_at_1_original,descriptive_pass_at_8_original,mean_50,passes_50,descriptive_pass_at_1_50,descriptive_pass_at_8_50,mean_60,passes_60,descriptive_pass_at_1_60,descriptive_pass_at_8_60,pass_k_note,formal_acceptance_pass_at_1,formal_acceptance_pass_at_8,formal_acceptance_reason
A1,new6-a1-v1.1-historical-rate,claude,763cb251b6b4825d,claude-opus-5,8,6,2,0,2,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.569248438046001655166666666666666666666666666667,1,,,0.536001693451432210128205128205128205128205128205,1,,,0.513837197055052580102564102564102564102564102564,1,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A1,new6-a1-v1.1-historical-rate,codex,8ca5d5a4e8e6d50d,REQUESTED_ONLY,8,8,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.904508224864419503,7,0.875,1,0.906848758580570837115384615384615384615384615385,7,0.875,1,0.908409114391338393192307692307692307692307692308,7,0.875,1,Complete same-configuration observed outcomes; requested model identity may be unverified,,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A1,new6-a1-v1.1-historical-rate,qwen,65581815cf47cb5d,REQUESTED_ONLY,3,0,3,3,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A1,new6-a1-v1.1-historical-rate,qwen,cbe37eb4b4cfc204,REQUESTED_ONLY,5,0,5,0,0,0,5,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,new6-a2-v1.0-zambia,claude,763cb251b6b4825d,claude-opus-5,6,2,4,0,4,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.323862666945379765429029852432713385008245,0,,,0.297532779979548484780004971639059004316284375,0,,,0.2887561509909380578969966780411742107522975,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,new6-a2-v1.0-zambia,claude,763cb251b6b4825d,claude-opus-5-thinking-high,2,0,2,1,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,new6-a2-v1.0-zambia,codex,8ca5d5a4e8e6d50d,REQUESTED_ONLY,8,7,1,0,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.965549366116019976949673453707260852862080714286,7,,,0.964977738598320619065912957576422808846932589286,7,,,0.964787196092420833104659458866143460841883214286,7,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,new6-a2-v1.0-zambia,qwen,65581815cf47cb5d,REQUESTED_ONLY,2,0,2,1,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,new6-a2-v1.0-zambia,qwen,cbe37eb4b4cfc204,REQUESTED_ONLY,6,0,6,2,0,0,4,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,claude,763cb251b6b4825d,claude-opus-5,6,3,3,0,3,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.567548340024006811216666666666666666666666666667,0,,,0.627662337259004014122710622710622710622710622710,1,,,0.667738335415668816060073260073260073260073260073,2,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,claude,763cb251b6b4825d,claude-opus-5-thinking-high,2,0,2,1,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,codex,8ca5d5a4e8e6d50d,REQUESTED_ONLY,8,8,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.996691101738531985,8,1,1,0.997355658645241149175824175824175824175824175824,8,1,1,0.997798696583047258626373626373626373626373626374,8,1,1,Complete same-configuration observed outcomes; requested model identity may be unverified,,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
