task,system,attempts,scored_n,unscored_n,missing_n,judge_pending_n,judge_execution_error_n,run_collection_pending_n,configuration_count,scope,mean_original,passes_original,descriptive_pass_at_1_original,descriptive_pass_at_8_original,mean_50,passes_50,descriptive_pass_at_1_50,descriptive_pass_at_8_50,mean_60,passes_60,descriptive_pass_at_1_60,descriptive_pass_at_8_60,pass_k_note,formal_acceptance_pass_at_1,formal_acceptance_pass_at_8,formal_acceptance_reason
A1,claude,8,6,2,0,2,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.569248438046001655166666666666666666666666666667,1,,,0.536001693451432210128205128205128205128205128205,1,,,0.513837197055052580102564102564102564102564102564,1,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A1,codex,8,8,0,0,0,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.904508224864419503,7,,,0.906848758580570837115384615384615384615384615385,7,,,0.908409114391338393192307692307692307692307692308,7,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A1,qwen,8,0,8,3,0,0,5,2,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,claude,8,2,6,1,5,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.323862666945379765429029852432713385008245,0,,,0.297532779979548484780004971639059004316284375,0,,,0.2887561509909380578969966780411742107522975,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,codex,8,7,1,0,1,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.965549366116019976949673453707260852862080714286,7,,,0.964977738598320619065912957576422808846932589286,7,,,0.964787196092420833104659458866143460841883214286,7,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
A2,qwen,8,0,8,3,1,0,4,2,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,claude,8,3,5,1,4,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.567548340024006811216666666666666666666666666667,0,,,0.627662337259004014122710622710622710622710622710,1,,,0.667738335415668816060073260073260073260073260073,2,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,codex,8,8,0,0,0,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.996691101738531985,8,,,0.997355658645241149175824175824175824175824175824,8,,,0.997798696583047258626373626373626373626373626374,8,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,qwen,8,0,8,0,3,0,5,4,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B2,claude,8,3,5,1,4,0,0,1,DESCRIPTIVE_OVERVIEW_NOT_ACCEPTANCE,0.559246272246272257666666666666666666666666666667,0,,,0.546770636770636784578754578754578754578754578755,0,,,0.538453546453546469186813186813186813186813186813,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
