case,task,task_version,system,display_system,trial_id,answer_sha256,config_id,requested_model,observed_model_ids,source_priority,current_status,current_judge_label,status,selected_judge_label,selected_judge_commit,code_identity,fallback_relation,criterion_scores,original_points,focus50_points,focus60_points,focus70_points,passing_original,passing50,passing60,passing70,receipt,previous_snapshot_record,technical_reason,generation_outcome_kind,upstream_exception_type,input_source_kind,terminal_finished_at,difficulty_sample_certified
A1-qwen-R01,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1PRI-A1-QWEN-R01__cnBMVa5,7bc0ac5f8379e3d6254fd086d3990506d3a424fd004f95a56a69c11b7a094cfd,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.8450704225352113"", ""R006"": ""0.0"", ""R004"": ""0.8440860215053764"", ""R005"": ""1.0""}",86.4444192033924,85.9746152681182246153846153846153846153846153846153846153846,85.6614126446021076923076923076923076923076923076923076923077,85.3482100210859907692307692307692307692307692307692307692308,True,True,True,True,receipts/A1-qwen-R01.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T04:49:04.845421Z,False
A1-qwen-R02,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1IDLE2-A1-QWEN-R02__UozT73c,ad63dec041430760038a09a5d8199071030760da100a1e83500d07cf696c340a,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.8450704225352113"", ""R006"": ""0.0"", ""R004"": ""0.8440860215053764"", ""R005"": ""1.0""}",86.4444192033924,85.9746152681182246153846153846153846153846153846153846153846,85.6614126446021076923076923076923076923076923076923076923077,85.3482100210859907692307692307692307692307692307692307692308,True,True,True,True,receipts/A1-qwen-R02.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T08:06:57.930908Z,False
A1-qwen-R03,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1PRI-A1-QWEN-R03__3ZrpnHY,1954d12221f46bdf32ebd632ef8c02703ffc6be1d785d2b83aef4802ac8db324,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.8450704225352113"", ""R006"": ""0.0"", ""R004"": ""0.8440860215053764"", ""R005"": ""1.0""}",86.4444192033924,85.9746152681182246153846153846153846153846153846153846153846,85.6614126446021076923076923076923076923076923076923076923077,85.3482100210859907692307692307692307692307692307692307692308,True,True,True,True,receipts/A1-qwen-R03.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T06:36:48.093731Z,False
A1-qwen-R04,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1IDLE-A1-QWEN-R04__Dj74EKV,6492c9521f4175224f89a2de9740a073aa28b7ea281de81330b584b8743b3283,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.8309859154929577"", ""R006"": ""0.0"", ""R004"": ""0.8440860215053764"", ""R005"": ""1.0""}",86.162729062547328,85.7579305443912461538461538461538461538461538461538461538462,85.4880648656205249230769230769230769230769230769230769230769,85.2181991868498036923076923076923076923076923076923076923077,True,True,True,True,receipts/A1-qwen-R04.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T07:11:44.307377Z,False
A1-qwen-R05,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1IDLE-A1-QWEN-R05__fB5jEru,b443c75d5d7584160fba2f0c17e5eb19fb1a5aa6119919d66bb44eec53d899c5,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R006"": ""0.8"", ""R004"": ""1.0"", ""R005"": ""1.0""}",99,99.2307692307692307692307692307692307692307692307692307692308,99.3846153846153846153846153846153846153846153846153846153846,99.5384615384615384615384615384615384615384615384615384615385,True,True,True,True,receipts/A1-qwen-R05.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T08:22:39.940871Z,False
A1-qwen-R06,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6GPAR-A1-QWEN-R06__TCkrkEd,6f9dfd544bfeb0b61fc9b32816b51a75f23051de9cd9f9e0299496b3164a63de,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.8450704225352113"", ""R006"": ""0.0"", ""R004"": ""0.8440860215053764"", ""R005"": ""1.0""}",86.4444192033924,85.9746152681182246153846153846153846153846153846153846153846,85.6614126446021076923076923076923076923076923076923076923077,85.3482100210859907692307692307692307692307692307692307692308,True,True,True,True,receipts/A1-qwen-R06.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T07:28:30.042153Z,False
A1-qwen-R07,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6GPAR-A1-QWEN-R07__D2QzaFa,f9059da03472528d17e1af03089e56c60518a06ace8a4a8822951a20b0785c07,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R006"": ""0.8"", ""R004"": ""1.0"", ""R005"": ""1.0""}",99,99.2307692307692307692307692307692307692307692307692307692308,99.3846153846153846153846153846153846153846153846153846153846,99.5384615384615384615384615384615384615384615384615384615385,True,True,True,True,receipts/A1-qwen-R07.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T06:41:47.874921Z,False
A1-qwen-R08,A1,new6-a1-v1.1-historical-rate,qwen,Qwen 3.8,N6A1STREAM-A1-QWEN-R08__HWE5zEr,da2a3d1136ec7bc67e4ef09fa795f27f38dff87fe11a1ad43ac951e65ee9417b,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R006"": ""0.8"", ""R004"": ""1.0"", ""R005"": ""1.0""}",99,99.2307692307692307692307692307692307692307692307692307692308,99.3846153846153846153846153846153846153846153846153846153846,99.5384615384615384615384615384615384615384615384615384615385,True,True,True,True,receipts/A1-qwen-R08.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T03:50:32.641812Z,False
A2-qwen-R01,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R01__FzteeGC,83150b2fc74b6d91e1c6637c188eacd7179b7b61e664f69096ffec64162ee6a5,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/A2-qwen-R01.json,,Dynamic controls could not be bound uniquely by visible labels,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T07:13:51.060923Z,False
A2-qwen-R02,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R02__DRvS653,,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,FINAL_OUTPUT_NOT_COLLECTED,,FINAL_OUTPUT_NOT_COLLECTED,,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,,,No collected final workbook in this selected slot; no numeric score assigned.,NO_COLLECTED_FINAL,,,,False
