case,task,task_version,system,trial_id,config_id,requested_model,observed_model_ids,model_identity_status,answer_sha256,source,current_judge_version,current_status,status,counts_as_independent_attempt,previous_available_status,previous_judge_version,judge_commit,judge_release,source_score_decimal,judge_evaluated_this_release,judge_version,receipt_origin,reason,original,score_50,score_60,pass_50,pass_60,pass_original,response_identity
A2-codex-R07,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__KuA3hX6,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,a175fae421d9a684f2c9c244ae493f19d7f21036fd404c1aff39617ab079c753,current,new6-a2-facts-v1.3-real-gdp-labels,SCORED,SCORED,True,SCORED,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,new6-a2-offline-v1.4-report-roles,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
C2-codex-R04,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__ousdxdq,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,1430c5e1ecbae182bbccda1780332055d6e6bb29a429da3bfab5189ad16bfd58,offline_same_answer_fallback,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,SCORED,True,SCORED,new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,release_lock:new6-offline-reader-v1,reused_identical_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
A2-codex-R01,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__iMDar7U,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,2d8115557d99e5f23974434662a6fb9bbb7e7b67520e720c48c053e4248f9ad1,current,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,REQUESTED_ONLY
B1-codex-R08,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__sNyUHBV,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,def9558e24964c8fe9d46cd80f0d73ece3b85eb85d49d7abadd648c0a862ec04,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.99550893533304798,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.99550893533304798,0.996545334871575369230769230769230769230769230769,0.997236267897260295384615384615384615384615384615,True,True,True,REQUESTED_ONLY
A2-codex-R05,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__ejUm3mm,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,2db7ac597d57f3d429d0bb63957a53bee151f9e0d8f82d3af3fc94a7f0e23eac,current,new6-a2-facts-v1.3-real-gdp-labels,SCORED,SCORED,True,SCORED,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,new6-a2-offline-v1.4-report-roles,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
A1-codex-R02,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R02__7LjkeLB,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,2e41fe38e8c39205e769c67f2edb7da0d407f75939c54972c483b462e1e2b0dc,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.927453430258973205,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.927453430258973205,0.940472861985810657692307692307692307692307692308,0.949152483137035626153846153846153846153846153846,True,True,True,REQUESTED_ONLY
B1-codex-R01,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__oGZxSgZ,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,d211484e6e8b7da39e90a4144176e5f86acae05f159fbe2b0cde59fa491d820d,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.99750,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.9975,0.998076923076923076923076923076923076923076923077,0.998461538461538461538461538461538461538461538462,True,True,True,REQUESTED_ONLY
A1-codex-R07,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R07__Kx3YnRc,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,6a0584476d700e8f05ca03c436a63e58eb834c91562cd4f0c3f04b901e4d1a8e,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1.0,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
B1-codex-R05,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__3Tw6aKg,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,817719b39be4380c7466698b521313635a553e5087d612ef612196281f4801d8,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1.0,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
C2-codex-R03,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__4GZxGZB,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,72695a14e39c930577bd14ac934e618dfc14815ab8ff1e6257c422a0da5de977,offline_same_answer_fallback,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,SCORED,True,SCORED,new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.998076923076923076923076923075,True,release_lock:new6-offline-reader-v1,reused_identical_fixed_judge,,0.998076923076923076923076923075,0.998520710059171597633136094673076923076923076923,0.998816568047337278106508875738461538461538461538,True,True,True,REQUESTED_ONLY
B1-codex-R02,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__g7FKEQf,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,a9c9480e90db1f5dbae89919c196473d93507bfbbd7b8bb024609698c4b8e8df,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1.0,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
C2-codex-R06,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__PPAba2S,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,3f88f58d951a74327e121708e0045e42b18b6d986a205c7328cafddd4d584619,offline_same_answer_fallback,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,SCORED,True,SCORED,new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.794805194805194805194805194785,True,release_lock:new6-offline-reader-v1,reused_identical_fixed_judge,,0.794805194805194805194805194785,0.716283716283716283716283716257692307692307692308,0.663936063936063936063936063906153846153846153846,True,False,True,REQUESTED_ONLY
A2-codex-R02,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__Yk2M6RH,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,fd03ce232408b5280f8d8d864ddfb44f53a6b56763bd386086caf3ff1a639b67,offline_same_answer_fallback,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,SCORED,True,SCORED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,new6-a2-offline-v1.4-report-roles,reused_identical_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
