dataset,task,system,profile,n,slots,mean,max_leave_one_out,below_060,loo_below_060,full_credit_vectors,contract_flagged,statuses,passes,pass_at_1,pass_at_8,pass_metric_note,mean_percent
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,original,8,8,0.8291666666666667,0.8761904761904762,False,False,3,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,82.91666666666667
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,focus_50,8,8,0.8237820512820513,0.8731135531135531,False,False,3,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,82.37820512820512
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,focus_60,8,8,0.8111538461538461,0.8606593406593407,False,False,3,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,81.11538461538461
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,focus_70,8,8,0.798525641025641,0.8482051282051282,False,False,3,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,79.8525641025641
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,original,8,8,0.875,0.9285714285714286,False,False,5,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,87.5
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,focus_50,8,8,0.8678205128205129,0.9254945054945055,False,False,5,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,86.78205128205128
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,focus_60,8,8,0.8715384615384615,0.9235164835164835,False,False,5,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,87.15384615384615
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,focus_70,8,8,0.8752564102564102,0.9215384615384615,False,False,5,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,87.52564102564102
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,original,8,8,0.7208333333333333,0.7523809523809524,False,False,2,False,{'SCORED': 8},3,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,72.08333333333333
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,focus_50,8,8,0.7073717948717949,0.74007326007326,False,False,2,False,{'SCORED': 8},3,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,70.73717948717949
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,focus_60,8,8,0.7053846153846154,0.7397802197802198,False,False,2,False,{'SCORED': 8},3,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,70.53846153846153
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,focus_70,8,8,0.7033974358974359,0.7394871794871795,False,False,2,False,{'SCORED': 8},3,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,70.33974358974359
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,original,8,8,0.8287037037037037,0.8941798941798942,False,False,4,False,{'SCORED': 8},6,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,82.87037037037037
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,focus_50,8,8,0.8099545454545455,0.8816623376623377,False,False,4,False,{'SCORED': 8},5,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,80.99545454545455
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,focus_60,8,8,0.7915454545454546,0.8691948051948052,False,False,4,False,{'SCORED': 8},5,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,79.15454545454546
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,focus_70,8,8,0.7731363636363636,0.8567272727272728,False,False,4,False,{'SCORED': 8},5,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,77.31363636363636
P15_V3,P15-B-HEALTH-REPORT-001,codex_gpt56sol,original,8,8,0.8935185185185185,0.9417989417989417,False,False,2,False,{'SCORED': 8},7,,,Snapshot does not establish homogeneous Judge/configuration identities; no formal pass@k claimed.,89.35185185185185
