dataset,task_id,system,slot,trial_name,status,contract_issue,original,focus_50,focus_60,focus_70,pass_60
P15_V3,P15-A-ENG-SIZING-001,claude_opus5,1,P15-A-ENG-SIZING-001__uxfqpAi,JUDGE_ERROR,,,,,,
P15_V3,P15-A-FIN-DCF-001,claude_opus5,1,P15-A-FIN-DCF-001__bPVbjtq,SCORED,,11.11111111111111,8.0,6.75,5.5,False
P15_V3,P15-A-FIN-DEBUG-001,claude_opus5,1,P15-A-FIN-DEBUG-001__dsEMfzB,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-FIN-DEBUG-001,claude_opus5,2,P15-A-FIN-DEBUG-001__nUfun8x,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,1,P15-A-POLICY-EIA-001__oPBiPJb,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,0.0,0.0,0.0,0.0,False
P15_V3,P15-A-STAT-EXPERIMENT-001,claude_opus5,1,P15-A-STAT-EXPERIMENT-001__9C9n8nb,SCORED,,47.82608695652174,42.0,33.666666666666664,25.333333333333336,False
P15_V3,P15-B-FIN-RECON-001,claude_opus5,1,P15-B-FIN-RECON-001__rvSG8BQ,SCORED,,11.538461538461538,11.538461538461538,13.846153846153847,16.153846153846153,False
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,1,P15-B-HEALTH-REPORT-001__QGwBWzW,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-OPS-CLEAN-JOIN-001,claude_opus5,1,P15-B-OPS-CLEAN-JOIN-001__iBKC7XW,JUDGE_ERROR,,,,,,
P15_V3,P15-B-SALES-DISCOVERY-001,claude_opus5,1,P15-B-SALES-DISCOVERY-001__3ewLAjS,SCORED,,68.0,65.0909090909091,72.36363636363636,79.63636363636364,True
P15_V3,P15-C-INVOICE-001,claude_opus5,1,P15-C-INVOICE-001__wJStK2d,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,1,P15-C-PO-ADDENDUM-001__9EMgvbm,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-QUOTE-001,claude_opus5,1,P15-C-QUOTE-001__MydN6UE,SCORED,,6.896551724137931,2.0,2.0,2.0,False
P15_V3,P15-C-RECEIPTS-001,claude_opus5,1,P15-C-RECEIPTS-001__rKWpU5o,SCORED,,6.666666666666667,2.0,2.0,2.0,False
P15_V3,P15-C-STATEMENT-001,claude_opus5,1,P15-C-STATEMENT-001__P4P9iQo,SCORED,,76.66666666666667,75.23076923076924,76.3076923076923,77.38461538461539,True
P15_V3,P15-A-ENG-SIZING-001,qwen38max,1,P15-A-ENG-SIZING-001__wJzgV6k,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-FIN-DCF-001,qwen38max,1,P15-A-FIN-DCF-001__9wgzhsw,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-FIN-DEBUG-001,qwen38max,1,P15-A-FIN-DEBUG-001__n7xrCJy,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,qwen38max,1,P15-A-POLICY-EIA-001__B4fogHm,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-A-STAT-EXPERIMENT-001,qwen38max,1,P15-A-STAT-EXPERIMENT-001__CgqoqQV,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-FIN-RECON-001,qwen38max,1,P15-B-FIN-RECON-001__ney9rUZ,SCORED,,61.53846153846154,63.07692307692307,59.35897435897436,55.64102564102564,False
P15_V3,P15-B-HEALTH-REPORT-001,qwen38max,1,P15-B-HEALTH-REPORT-001__2MX3TT9,SCORED,,81.48148148148148,79.96363636363635,78.56969696969696,77.17575757575757,True
P15_V3,P15-B-OPS-CLEAN-JOIN-001,qwen38max,1,P15-B-OPS-CLEAN-JOIN-001__YpYd7gq,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-SALES-DISCOVERY-001,qwen38max,1,P15-B-SALES-DISCOVERY-001__8h3bTmq,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-INVOICE-001,qwen38max,1,P15-C-INVOICE-001__cQnGzn8,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,1,P15-C-PO-ADDENDUM-001__Wsx39yp,SCORED,,86.66666666666667,86.66666666666667,84.0,81.33333333333333,True
P15_V3,P15-C-QUOTE-001,qwen38max,1,P15-C-QUOTE-001__fBb2dMr,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-RECEIPTS-001,qwen38max,1,P15-C-RECEIPTS-001__CZLhB4w,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-STATEMENT-001,qwen38max,1,P15-C-STATEMENT-001__rr8ztQ9,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,1,P15-A-STAT-EXPERIMENT-001__fuqNasf,SCORED,,91.30434782608695,92.0,93.66666666666667,95.33333333333334,True
P15_V3,P15-B-FIN-RECON-001,claude_opus5,2,P15-B-FIN-RECON-001__g2ouRZX,SCORED,,38.46153846153847,39.53846153846154,36.01282051282052,32.48717948717948,False
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,1,P15-C-PO-ADDENDUM-001__WrujDRF,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-PO-ADDENDUM-001,qwen38max,2,P15-C-PO-ADDENDUM-001__LfPowNA,SCORED,,63.33333333333333,61.17948717948718,62.46153846153846,63.743589743589745,False
P15_V3,P15-C-STATEMENT-001,codex_gpt56sol,1,P15-C-STATEMENT-001__HC38bt6,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-PUBLIC-PIVOT-001,codex_gpt56sol,1,P15-B-PUBLIC-PIVOT-001__RJegFCU,NATIVE_RECALC_REQUIRED,,,,,,
P15_V3,P15-B-PUBLIC-PIVOT-001,claude_opus5,1,P15-B-PUBLIC-PIVOT-001__3hn9mjE,NATIVE_RECALC_REQUIRED,,,,,,
P15_V3,P15-A-FIN-DCF-001,claude_opus5,2,P15-A-FIN-DCF-001__Jhfc4qs,SCORED,,77.77777777777779,70.0,64.0,57.99999999999999,False
P15_V3,P15-A-STAT-EXPERIMENT-001,claude_opus5,2,P15-A-STAT-EXPERIMENT-001__dP5b4Ac,SCORED,,0.0,0.0,0.0,0.0,False
P15_V3,P15-A-ENG-SIZING-001,codex_gpt56sol,1,P15-A-ENG-SIZING-001__jQm7QPe,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,2,P15-A-POLICY-EIA-001__Rf4votW,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,36.0,33.95804195804196,31.580419580419584,29.202797202797203,False
P15_V3,P15-A-FIN-DEBUG-001,codex_gpt56sol,1,P15-A-FIN-DEBUG-001__tjEi6Ao,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-OPS-CLEAN-JOIN-001,claude_opus5,2,P15-B-OPS-CLEAN-JOIN-001__AXp7WY6,SCORED,,73.07692307692307,71.53246753246754,70.03896103896103,68.54545454545455,True
P15_V3,P15-A-POLICY-EIA-001,codex_gpt56sol,1,P15-A-POLICY-EIA-001__fDP2yAZ,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,36.0,33.95804195804196,31.580419580419584,29.202797202797203,False
P15_V3,P15-B-PUBLIC-PIVOT-001,claude_opus5,2,P15-B-PUBLIC-PIVOT-001__Kf29BRt,NATIVE_RECALC_REQUIRED,,,,,,
P15_V3,P15-A-ENG-SIZING-001,claude_opus5,2,P15-A-ENG-SIZING-001__25HhQEa,SCORED,,58.333333333333336,59.333333333333336,61.0,62.66666666666667,False
P15_V3,P15-B-FIN-RECON-001,codex_gpt56sol,1,P15-B-FIN-RECON-001__F3asQhw,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-SALES-DISCOVERY-001,claude_opus5,2,P15-B-SALES-DISCOVERY-001__kqXCz52,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-PO-ADDENDUM-001,claude_opus5,2,P15-C-PO-ADDENDUM-001__M7CiWf9,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-STATEMENT-001,claude_opus5,2,P15-C-STATEMENT-001__AC9AZmb,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-FIN-DEBUG-001,claude_opus5,3,P15-A-FIN-DEBUG-001__tDdyMMf,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-INVOICE-001,codex_gpt56sol,1,P15-C-INVOICE-001__KAm2dxe,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-QUOTE-001,qwen38max,2,P15-C-QUOTE-001__emETmAn,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-RECEIPTS-001,qwen38max,2,P15-C-RECEIPTS-001__TMUtqRe,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-FIN-RECON-001,claude_opus5,3,P15-B-FIN-RECON-001__yiYa4Qy,SCORED,,11.538461538461538,11.538461538461538,13.846153846153847,16.153846153846153,False
P15_V3,P15-B-HEALTH-REPORT-001,claude_opus5,2,P15-B-HEALTH-REPORT-001__rfcustc,SCORED,,62.96296296296296,62.61818181818182,62.981818181818184,63.34545454545455,False
P15_V3,P15-B-OPS-CLEAN-JOIN-001,claude_opus5,3,P15-B-OPS-CLEAN-JOIN-001__b5UVxw6,SCORED,,73.07692307692307,71.53246753246754,70.03896103896103,68.54545454545455,True
P15_V3,P15-C-STATEMENT-001,codex_gpt56sol,2,P15-C-STATEMENT-001__FUJ8Ss3,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-PO-ADDENDUM-001,codex_gpt56sol,2,P15-C-PO-ADDENDUM-001__VnjXTfS,SCORED,,50.0,46.41025641025641,50.76923076923077,55.12820512820513,False
P15_V3,P15-A-POLICY-EIA-001,claude_opus5,3,P15-A-POLICY-EIA-001__C63wtJL,SCORED_LEGACY_CONTRACT_FLAGGED,Historical source units/baseline inconsistent. Legacy-contract diagnostic score retained; not mixed with corrected-contract acceptance.,56.00000000000001,54.97902097902097,53.790209790209786,52.6013986013986,False
P15_V3,P15-B-OPS-CLEAN-JOIN-001,qwen38max,2,P15-B-OPS-CLEAN-JOIN-001__qdjHj5s,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-INVOICE-001,claude_opus5,2,P15-C-INVOICE-001__sDCC3Hk,SCORED,,6.896551724137931,2.0,2.0,2.0,False
P15_V3,P15-C-RECEIPTS-001,claude_opus5,2,P15-C-RECEIPTS-001__wzt8ziy,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-STAT-EXPERIMENT-001,codex_gpt56sol,2,P15-A-STAT-EXPERIMENT-001__2eQaPX7,SCORED,,91.30434782608695,90.0,88.0,86.0,True
P15_V3,P15-B-PUBLIC-PIVOT-001,claude_opus5,3,P15-B-PUBLIC-PIVOT-001__aWPskiN,NATIVE_RECALC_REQUIRED,,,,,,
P15_V3,P15-A-FIN-DCF-001,claude_opus5,3,P15-A-FIN-DCF-001__BzLQFVw,SCORED,,3.7037037037037033,2.0,2.0,2.0,False
P15_V3,P15-B-FIN-RECON-001,claude_opus5,4,P15-B-FIN-RECON-001__STwok8f,SCORED,,11.538461538461538,11.538461538461538,13.846153846153847,16.153846153846153,False
P15_V3,P15-C-QUOTE-001,codex_gpt56sol,1,P15-C-QUOTE-001__go6MvZb,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-C-RECEIPTS-001,qwen38max,3,P15-C-RECEIPTS-001__Pxb5wDP,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-A-FIN-DEBUG-001,codex_gpt56sol,2,P15-A-FIN-DEBUG-001__apHnx6m,SCORED,,100.0,100.0,100.0,100.0,True
P15_V3,P15-B-SALES-DISCOVERY-001,claude_opus5,3,P15-B-SALES-DISCOVERY-001__WU6G6xK,SCORED,,100.0,100.0,100.0,100.0,True
