task,id,description,method,deterministic_weight_percent,llm_weight_percent,dimension,implementation,original_weight_percent,current_weight_percent,input_assistance,group
A1,R001,源输入、时间与金额单位正确,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
A1,R002,逐年经营预测和费用关系正确,deterministic_program,15.3846153846153846153846153846153846153846153846,0,data_accuracy,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,25,15.3846153846153846153846153846153846153846153846,programmatic reader,other
A1,R003,再投资、现金流与估值桥正确,deterministic_program,12.3076923076923076923076923076923076923076923077,0,data_accuracy,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,20,12.3076923076923076923076923076923076923076923077,programmatic reader,other
A1,R004,声明的输入变化传到正确输出,deterministic_program,60,0,data_accuracy,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,35,60,programmatic reader,focus
A1,R005,历史、base和不相关模型内容保留,deterministic_program,3.07692307692307692307692307692307692307692307692,0,consistency_and_file_operations,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,5,3.07692307692307692307692307692307692307692307692,programmatic reader,other
A1,R006,候选实际展示的两情景结论可核对,deterministic_program,3.07692307692307692307692307692307692307692307692,0,consistency_and_file_operations,tasks/52/NEW6-A-FIN-RESTORE-001/tests/new6/tasks/NEW6-A-FIN-RESTORE-001/tests/evaluate.py,5,3.07692307692307692307692307692307692307692307692,programmatic reader,other
A2,R001,国家、起年、初始输入和单位正确,deterministic_program,7.5,0,data_accuracy,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,15,7.5,programmatic reader,other
A2,R002,年度投资及资本/产出递推正确,deterministic_program,17.5,0,data_accuracy,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,35,17.5,programmatic reader,other
A2,R003,GDP与人均GDP结果和情景差异正确,deterministic_program,10,0,data_accuracy,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,20,10,programmatic reader,other
A2,R004,目标与过渡年变化的正确传播,deterministic_program,60,0,data_accuracy,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,20,60,programmatic reader,focus
A2,R005,基础情景与源数据未被改变,deterministic_program,2.5,0,consistency_and_file_operations,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,5,2.5,programmatic reader,other
A2,R006,图表、解释和引用与实际结果一致,deterministic_program,2.5,0,consistency_and_file_operations,tasks/54/NEW6-A-MACRO-SCENARIO-001/tests/new6/tasks/NEW6-A-MACRO-SCENARIO-001/tests/evaluate.py,5,2.5,programmatic reader,other
B1,R001,期间与源记录多重集合完整,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
B1,R002,销售、贷项与异常处理符合可见政策,deterministic_program,9.23076923076923076923076923076923076923076923077,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,15,9.23076923076923076923076923076923076923076923077,programmatic reader,other
B1,R003,发票级分组、身份与金额正确,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
B1,R004,国家与总体汇总和候选明细一致,deterministic_program,9.23076923076923076923076923076923076923076923077,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,15,9.23076923076923076923076923076923076923076923077,programmatic reader,other
B1,R005,报告/图表实际数值与分析一致,deterministic_program,4.92307692307692307692307692307692307692307692308,0,consistency_and_file_operations,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,8,4.92307692307692307692307692307692307692307692308,saved image-hash-bound visual transcription for raster chart half of criterion,other
B1,R006,源文件保护、记录追踪和闭合证据,deterministic_program,4.30769230769230769230769230769230769230769230769,0,consistency_and_file_operations,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,7,4.30769230769230769230769230769230769230769230769,programmatic reader,other
