task,display_system,slots,n,unscored,status_counts,mean_original_points,mean_60_points,passes_60,pass_at_1,pass_at_8,pass_k_reason,config_id,selected_judge_label,generation_outcome_kind
A1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",90.4508224864419503,90.8409114391338393192307692307692307692307692307625,7,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-a1-v1.3-proven-formula-defects,
A1,Opus 5,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
A1,Opus 5,1,1,0,"{""SCORED"": 1}",69.6313589421835675,59.0824905318317415384615384615384615384615384615,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-a1-offline-v1.4-base-controls,
A1,Opus 5,6,6,0,"{""SCORED"": 6}",53.6239785500774825166666666666666666666666666666666666666667,49.12840367349681334358974358974358974358974358975,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-a1-v1.3-proven-formula-defects,
A1,Qwen 3.8,5,5,0,"{""SCORED"": 5}",86.3880811752233856,85.6267430888057911384615384615384615384615384615384615384615,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-a1-v1.3-proven-formula-defects,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION
A1,Qwen 3.8,3,3,0,"{""SCORED"": 3}",99,99.3846153846153846153846153846153846153846153846153846153846,3,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-a1-v1.3-proven-formula-defects,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
A2,GPT-5.6 sol,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,,
A2,GPT-5.6 sol,5,5,0,"{""SCORED"": 5}",90.5935459085670380330388013830195927775645,90.33326930464848252016903572800614675374625,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-a2-facts-v1.3-real-gdp-labels,
A2,GPT-5.6 sol,2,2,0,"{""SCORED"": 2}",99.70034575489819439108720706876680752977275,99.758932001536688436419515943142527852476375,2,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-a2-offline-v1.4-report-roles,
A2,Opus 5,6,0,6,"{""JUDGE_ERROR"": 5, ""OUTPUT_MISSING"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
A2,Opus 5,2,2,0,"{""SCORED"": 2}",32.3862666945379765429029852432713385008245,28.87561509909380578969966780411742107522975,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-a2-offline-v1.4-report-roles,
A2,Qwen 3.8,4,0,4,"{""FINAL_OUTPUT_NOT_COLLECTED"": 4}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,,NO_COLLECTED_FINAL
A2,Qwen 3.8,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-a2-facts-v1.3-real-gdp-labels,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION
A2,Qwen 3.8,3,1,2,"{""JUDGE_ERROR"": 2, ""SCORED"": 1}",76.4838647714175950825970034575489819439115,75.83317326162120630042258932001536688436575,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-a2-facts-v1.3-real-gdp-labels,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
B1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",99.6691101738531985,99.779869658304725862637362637362637362637362637375,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-b1-reader-v2.5-declared-traceability,
B1,Opus 5,5,0,5,"{""JUDGE_ERROR"": 4, ""OUTPUT_MISSING"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
B1,Opus 5,2,2,0,"{""SCORED"": 2}",61.51027040495966063,75.55088679377248895912087912087912087912087912085,2,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-b1-reader-v2.5-declared-traceability,
B1,Opus 5,1,1,0,"{""SCORED"": 1}",48.464891429840862355,49.9710687187299070536263736263736263736263736264,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,release_lock:new6-offline-reader-v1,
B1,Qwen 3.8,5,2,3,"{""JUDGE_ERROR"": 3, ""SCORED"": 2}",99.9,99.9384615384615384615384615384615384615384615384615384615384,2,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-b1-reader-v2.6-precision-labelled-register,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION
B1,Qwen 3.8,3,1,2,"{""SCORED"": 1, ""JUDGE_ERROR"": 2}",100,100,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-b1-reader-v2.6-precision-labelled-register,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
B2,GPT-5.6 sol,5,5,0,"{""SCORED"": 5}",89.68214285714285784,87.82637362637362794549450549450549450549450549448,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,868f3be7850eba7a,new6-b2-offline-v3.3-chart-roles,
B2,GPT-5.6 sol,3,3,0,"{""SCORED"": 3}",91.8571428571428571666666666666666666666666666666666666666667,88.3956043956043963516483516483516483516483516483666666666667,3,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,868f3be7850eba7a,new6-b2-three-release-v3.2-labelled-code-lists,
B2,Opus 5,5,0,5,"{""JUDGE_ERROR"": 4, ""OUTPUT_MISSING"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
B2,Opus 5,1,1,0,"{""SCORED"": 1}",56.15858585858586,58.3930735930735951648351648351648351648351648352,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-b2-offline-v3.3-chart-roles,
B2,Opus 5,2,2,0,"{""SCORED"": 2}",55.80764790764790865,51.5714951714951727956043956043956043956043956044,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-b2-three-release-v3.2-labelled-code-lists,
B2,Qwen 3.8,1,0,1,"{""FINAL_OUTPUT_NOT_COLLECTED"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,,NO_COLLECTED_FINAL
B2,Qwen 3.8,7,5,2,"{""SCORED"": 5, ""JUDGE_ERROR"": 2}",94.3190476190476184,90.4967032967032954989010989010989010989010989010989010989011,5,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-b2-three-release-v3.3-authority-chart-series,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
C1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",89.85125953408058216581107453552025967804875,92.91850085040410407528173148674156448415067307695,8,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,868f3be7850eba7a,new6-c1-review-facts-v2.4-inline-and-bridge,
C1,Opus 5,1,0,1,"{""OUTPUT_MISSING"": 1}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
C1,Opus 5,5,0,5,"{""JUDGE_ERROR"": 5}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,d2b93fdc116ca2eb,,
