case,task,task_version,system,display_system,trial_id,answer_sha256,config_id,requested_model,observed_model_ids,source_priority,current_status,current_judge_label,status,selected_judge_label,selected_judge_commit,code_identity,fallback_relation,criterion_scores,original_points,focus50_points,focus60_points,focus70_points,passing_original,passing50,passing60,passing70,receipt,previous_snapshot_record,technical_reason
A2-codex-R07,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__KuA3hX6,a175fae421d9a684f2c9c244ae493f19d7f21036fd404c1aff39617ab079c753,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/A2-codex-R07.json,,
C2-codex-R04,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__ousdxdq,1430c5e1ecbae182bbccda1780332055d6e6bb29a429da3bfab5189ad16bfd58,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/C2-codex-R04.json,,
A2-codex-R01,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__iMDar7U,2d8115557d99e5f23974434662a6fb9bbb7e7b67520e720c48c053e4248f9ad1,8ca5d5a4e8e6d50d,gpt-5.6-sol,,UNSCORED,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,,,,,,,,,,,,
B1-codex-R08,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__sNyUHBV,def9558e24964c8fe9d46cd80f0d73ece3b85eb85d49d7abadd648c0a862ec04,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""0.9992262355536532"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""0.9375"", ""R007"": ""1.0"", ""R008"": ""1.0""}",99.550893533304798,99.6545334871575369230769230769230769230769230769,99.7236267897260295384615384615384615384615384615,99.7927200922945221538461538461538461538461538462,True,True,True,True,receipts/B1-codex-R08.json,,
A2-codex-R05,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__ejUm3mm,2db7ac597d57f3d429d0bb63957a53bee151f9e0d8f82d3af3fc94a7f0e23eac,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""0.5"", ""R003"": ""1"", ""R004"": ""0.7518248175182481751824817518248175182482"", ""R005"": ""1"", ""R006"": ""0.7894736842105263157894736842105263157895""}",76.4838647714175950825970034575489819439115,75.9958461390703034959661928543987706492521875,75.83317326162120630042258932001536688436575,75.6705003841721091048789857856319631194793125,True,True,True,True,receipts/A2-codex-R05.json,,
A1-codex-R02,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R02__7LjkeLB,2e41fe38e8c39205e769c67f2edb7da0d407f75939c54972c483b462e1e2b0dc,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.9154929577464789"", ""R006"": ""0.0"", ""R004"": ""0.9838709677419355"", ""R005"": ""1.0""}",92.7453430258973205,94.0472861985810657692307692307692307692307692308,94.9152483137035626153846153846153846153846153846,95.7832104288260594615384615384615384615384615385,True,True,True,True,receipts/A1-codex-R02.json,,
B1-codex-R01,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__oGZxSgZ,d211484e6e8b7da39e90a4144176e5f86acae05f159fbe2b0cde59fa491d820d,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""0.96875"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",99.75,99.8076923076923076923076923076923076923076923077,99.8461538461538461538461538461538461538461538462,99.8846153846153846153846153846153846153846153846,True,True,True,True,receipts/B1-codex-R01.json,,
A1-codex-R07,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R07__Kx3YnRc,6a0584476d700e8f05ca03c436a63e58eb834c91562cd4f0c3f04b901e4d1a8e,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R006"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/A1-codex-R07.json,,
B1-codex-R05,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__3Tw6aKg,817719b39be4380c7466698b521313635a553e5087d612ef612196281f4801d8,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/B1-codex-R05.json,,
C2-codex-R03,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__4GZxGZB,72695a14e39c930577bd14ac934e618dfc14815ab8ff1e6257c422a0da5de977,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""0.9615384615384615384615384615"", ""R006"": ""1""}",99.8076923076923076923076923075,99.8520710059171597633136094673076923076923076923,99.8816568047337278106508875738461538461538461538,99.9112426035502958579881656803846153846153846154,True,True,True,True,receipts/C2-codex-R03.json,,
