题目,审查项,审查者,日期,通过/需修改/材料不足,具体文件或单元格,修改意见,返修版本,复核结果
A1,场景与请求的真实性、来源和清晰度,,,,,,,
A1,输入材料是否充分且版本一致,,,,,,,
A1,golden及独立答案是否正确,,,,,,,
A1,rubric是否客观、原子且覆盖主要能力,,,,,,,
A1,Judge与golden是否自洽、公平接受合理实现,,,,,,,
A1,交付能否被下游核对和继续使用,,,,,,,
A1,数据是否支持难度结论,,,,,,,
A1,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
A2,场景与请求的真实性、来源和清晰度,,,,,,,
A2,输入材料是否充分且版本一致,,,,,,,
A2,golden及独立答案是否正确,,,,,,,
A2,rubric是否客观、原子且覆盖主要能力,,,,,,,
A2,Judge与golden是否自洽、公平接受合理实现,,,,,,,
A2,交付能否被下游核对和继续使用,,,,,,,
A2,数据是否支持难度结论,,,,,,,
A2,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
B1,场景与请求的真实性、来源和清晰度,,,,,,,
B1,输入材料是否充分且版本一致,,,,,,,
B1,golden及独立答案是否正确,,,,,,,
B1,rubric是否客观、原子且覆盖主要能力,,,,,,,
B1,Judge与golden是否自洽、公平接受合理实现,,,,,,,
B1,交付能否被下游核对和继续使用,,,,,,,
B1,数据是否支持难度结论,,,,,,,
B1,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
B2,场景与请求的真实性、来源和清晰度,,,,,,,
B2,输入材料是否充分且版本一致,,,,,,,
B2,golden及独立答案是否正确,,,,,,,
B2,rubric是否客观、原子且覆盖主要能力,,,,,,,
B2,Judge与golden是否自洽、公平接受合理实现,,,,,,,
B2,交付能否被下游核对和继续使用,,,,,,,
B2,数据是否支持难度结论,,,,,,,
B2,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
C1,场景与请求的真实性、来源和清晰度,,,,,,,
C1,输入材料是否充分且版本一致,,,,,,,
C1,golden及独立答案是否正确,,,,,,,
C1,rubric是否客观、原子且覆盖主要能力,,,,,,,
C1,Judge与golden是否自洽、公平接受合理实现,,,,,,,
C1,交付能否被下游核对和继续使用,,,,,,,
C1,数据是否支持难度结论,,,,,,,
C1,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
C2,场景与请求的真实性、来源和清晰度,,,,,,,
C2,输入材料是否充分且版本一致,,,,,,,
C2,golden及独立答案是否正确,,,,,,,
C2,rubric是否客观、原子且覆盖主要能力,,,,,,,
C2,Judge与golden是否自洽、公平接受合理实现,,,,,,,
C2,交付能否被下游核对和继续使用,,,,,,,
C2,数据是否支持难度结论,,,,,,,
C2,低分是否有具体业务错误、是否排除Judge或基础设施问题,,,,,,,
