source_row_id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
Online Retail:320707,565080,20677,PINK POLKADOT BOWL,8,2011-09-01 08:25:00,1.25,13509,United Kingdom
Online Retail:320708,565080,22128,PARTY CONES CANDY ASSORTED,24,2011-09-01 08:25:00,1.25,13509,United Kingdom
Online Retail:320709,565081,21067,,1,2011-09-01 09:03:00,0,,United Kingdom
Online Retail:320710,565082,22423,REGENCY CAKESTAND 3 TIER,2,2011-09-01 09:15:00,12.75,13305,United Kingdom
Online Retail:320711,565082,15060B,FAIRY CAKE DESIGN UMBRELLA,8,2011-09-01 09:15:00,3.75,13305,United Kingdom
Online Retail:320712,565082,23245,SET OF 3 REGENCY CAKE TINS,4,2011-09-01 09:15:00,4.95,13305,United Kingdom
Online Retail:320713,565083,22609,PENS ASSORTED SPACEBALL,36,2011-09-01 09:19:00,0.19,16187,United Kingdom
Online Retail:320714,565083,22741,FUNKY DIVA PEN,48,2011-09-01 09:19:00,0.85,16187,United Kingdom
Online Retail:320715,565083,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,16,2011-09-01 09:19:00,3.29,16187,United Kingdom
Online Retail:320716,565083,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,24,2011-09-01 09:19:00,2.1,16187,United Kingdom
Online Retail:320717,565083,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,12,2011-09-01 09:19:00,2.1,16187,United Kingdom
Online Retail:320718,565083,22652,TRAVEL SEWING KIT,10,2011-09-01 09:19:00,1.65,16187,United Kingdom
Online Retail:320719,565083,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-09-01 09:19:00,0.42,16187,United Kingdom
Online Retail:320720,565083,22653,BUTTON BOX ,20,2011-09-01 09:19:00,1.95,16187,United Kingdom
Online Retail:320721,565083,23263,SET OF 3 WOODEN HEART DECORATIONS,24,2011-09-01 09:19:00,1.25,16187,United Kingdom
Online Retail:320722,565083,21415,CLAM SHELL SMALL ,24,2011-09-01 09:19:00,2.1,16187,United Kingdom
Online Retail:320723,565083,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-09-01 09:19:00,2.1,16187,United Kingdom
Online Retail:320724,565084,23309,SET OF 60 I LOVE LONDON CAKE CASES ,120,2011-09-01 09:39:00,0.42,17306,United Kingdom
