case,task,task_version,system,trial_id,config_id,requested_model,observed_model_ids,model_identity_status,judge_version,judge_source_commit,answer_sha256,status,score_60,pass_60
A1-claude-R02,A1,new6-a1-v1.1-historical-rate,claude,NEW6-A-FIN-RESTORE-001-CLAUDE-R0__d2n7Tg4,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,25b8a2e9c080a9efdb5867b58853babd7ec5dfc9aa0a63b8385cad2d2b80410d,SCORED,0.625936563226431475757575757575757575757575757576,False
A1-claude-R05,A1,new6-a1-v1.1-historical-rate,claude,NEW6-A-FIN-RESTORE-001-CLAUDE-R0__UPbBSZY,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,f985b7fb86b215f8d79c914031902c2fcd2412b29a3a3e6e2b99080eaaf584c1,JUDGE_ERROR,,
A2-claude-R01,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__foZNQkz,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,7a9814742dd06dd78c26ba3b7c731fdc7096f2b77489fe0e232c9bd2f4352069,SCORED,0.287582735449450325950292052753014087221214285714,False
A2-claude-R02,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__Mq5NNBj,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,b4c272fbb0eb6f0b2f8ff87b6d23e94b8f958aa91d818c7d84badd0047eee8fc,SCORED,0.321943562584169576101961810759352057853794285714,False
A2-claude-R03,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__XNZRoso,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,e46b61db0c8d1383ab0644d3984643c49561a40247cd45f15f8cab21ca1d974c,JUDGE_ERROR,,
A2-claude-R04,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__ZEaqiJG,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,c8be197c67bad2e43b5d83f961b87f6517b2c2d6058d63dcfcbda0cb4fac9280,JUDGE_ERROR,,
A2-claude-R05,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__nYyXtGY,638cc5460598,claude-opus-5,claude-opus-5-thinking-high,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,fabc4628e85d79e1dcf8fcd7a5f4ef8a9280c220f6b28512dbbe6164107efa50,JUDGE_ERROR,,
A2-claude-R06,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__ooELUEe,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,646f9a379a6d1a1782ec5f8391cd164aaeed21540d90c5d0f00addf77b9fe6e8,JUDGE_ERROR,,
A2-claude-R07,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__TAhNjFa,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,d1b029c169727dd7d4f2e8cefdcb1df9a4247b14ec381460a0b74018bea6bb84,JUDGE_ERROR,,
A2-codex-R01,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__iMDar7U,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,2d8115557d99e5f23974434662a6fb9bbb7e7b67520e720c48c053e4248f9ad1,JUDGE_ERROR,,
A2-codex-R02,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__Yk2M6RH,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,fd03ce232408b5280f8d8d864ddfb44f53a6b56763bd386086caf3ff1a639b67,SCORED,1,True
A2-codex-R08,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__J7TZcZg,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,5efb8c0a2bb077d673a9ad3efb5f8fc299681077c31570a6fc9f4037af7189c4,SCORED,0.98801383019592777564348828275067230119091,True
A2-qwen-R04,A2,new6-a2-v1.0-zambia,qwen,NEW6-A-MACRO-SCENARIO-001-QWEN-R__PFoKc4n,2a1351dd898f,openai/qwen3.8-max,,PROVIDER_MODEL_IDENTITY_PENDING,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,7f34425e01acb47529a65031d4ef87956ba93b0aac73383890977e49e8481bf5,JUDGE_ERROR,,
B1-claude-R01,B1,new6-b1-v2,claude,NEW6-B-RETAIL-CLOSE-001-CLAUDE-R__iwHy9vB,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,c16fa8d3bfbfbd1658ccafe71db2481146f2dc2df82a6bdf1ee49bb752c37c47,JUDGE_ERROR,,
B1-claude-R02,B1,new6-b1-v2,claude,NEW6-B-RETAIL-CLOSE-001-CLAUDE-R__Pzs2T3q,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,ab6457e024e0c756637af408d6992889cb42488d2a9f87e84f4e0cffc23bfdc5,JUDGE_ERROR,,
B1-claude-R03,B1,new6-b1-v2,claude,NEW6-B-RETAIL-CLOSE-001-CLAUDE-R__kjgYY3u,638cc5460598,claude-opus-5,claude-opus-5-thinking-high,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,246d785f9d1a9a0ccd9cac39614d7654dab019a48d3e97fccf010706a4226915,JUDGE_ERROR,,
B1-claude-R04,B1,new6-b1-v2,claude,NEW6-B-RETAIL-CLOSE-001-CLAUDE-R__Ra6Hmef,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,80918d67927f5e4542078129f0b98545f17320a1b7fe7fc3841044ba8aa4b10d,JUDGE_ERROR,,
B1-qwen-R06,B1,new6-b1-v2,qwen,NEW6-B-RETAIL-CLOSE-001-QWEN-R06__MnV8uz7,2a1351dd898f,openai/qwen3.8-max,,PROVIDER_MODEL_IDENTITY_PENDING,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,4b5a9f0b03498de2856426059dd6a5a8a7fd9c6d1c1792e12c660752535c4496,JUDGE_ERROR,,
B2-claude-R01,B2,new6-b2-three-release-v3,claude,N6V3-B2-CLAUDE-R01__NNRrtEM,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,012a7da7e27e8397034b432dc4ba33e2449c82c7eae5e2258cc42739c836f766,JUDGE_ERROR,,
B2-claude-R04,B2,new6-b2-three-release-v3,claude,N6V3-B2-CLAUDE-R04__X239QzV,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,274e057c0bc987f8dacb6c7a686f3839351910038c3fd23c97b011f7f2c8afb5,JUDGE_ERROR,,
