trial,task,system,criterion,credit,weight,contribution,receipt
A2-codex-R07,A2,GPT-5.6 sol,R001,1,15,0.15,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
A2-codex-R07,A2,GPT-5.6 sol,R002,1,35,0.35,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
A2-codex-R07,A2,GPT-5.6 sol,R003,1,20,0.2,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
A2-codex-R07,A2,GPT-5.6 sol,R004,1,20,0.2,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
A2-codex-R07,A2,GPT-5.6 sol,R005,1,5,0.05,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
A2-codex-R07,A2,GPT-5.6 sol,R006,1,5,0.05,results/receipts/A2-codex-R07/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R002,0.9992262355536532,15,0.14988393533304798,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R004,1.0,15,0.15,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R006,0.9375,7,0.065625,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
B1-codex-R08,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R08/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R001,1,15,0.15,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R002,0.5,35,0.175,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R003,1,20,0.2,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R004,0.7518248175182481751824817518248175182482,20,0.1503649635036496350364963504,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R005,1,5,0.05,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A2-codex-R05,A2,GPT-5.6 sol,R006,0.7894736842105263157894736842105263157895,5,0.03947368421052631578947368421,results/receipts/A2-codex-R05/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R003,0.9154929577464789,20,0.18309859154929578,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R004,0.9838709677419355,35,0.344354838709677425,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
A1-codex-R02,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R02/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R004,0.9166666666666666,15,0.13749999999999999,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R005,0.96875,8,0.07750,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R006,1.0,7,0.07,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R007,0.3888888888888889,25,0.097222222222222225,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
B1-codex-R01,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R01/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R003,1.0,20,0.2,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R006,1.0,5,0.05,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R004,1.0,35,0.35,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
A1-codex-R07,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R07/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
