task,display_system,config_id,observed_model_ids,selected_judge_label,selected_judge_commit,slots,n,unscored,status_counts,mean_original_points,passes_original,mean_50_points,passes_50,mean_60_points,passes_60,mean_70_points,passes_70,pass_at_1,pass_at_8,pass_k_reason
A1,GPT-5.6 sol,8ca5d5a4e8e6d50d,,new6-a1-v1.3-proven-formula-defects,,8,8,0,"{""SCORED"": 8}",90.4508224864419503,7,90.6848758580570837115384615384615384615384615385,7,90.8409114391338393192307692307692307692307692308,7,90.9969470202105949269230769230769230769230769231,7,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Opus 5,763cb251b6b4825d,claude-opus-5,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,1,1,0,"{""SCORED"": 1}",69.6313589421835675,0,63.3020378959724719230769230769230769230769230769,0,59.0824905318317415384615384615384615384615384615,0,54.8629431676910111538461538461538461538461538462,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Opus 5,763cb251b6b4825d,claude-opus-5,new6-a1-v1.3-proven-formula-defects,,6,6,0,"{""SCORED"": 6}",53.6239785500774825166666666666666666666666666667,1,50.9266336241290810128205128205128205128205128205,1,49.1284036734968133435897435897435897435897435898,1,47.3301737228645456743589743589743589743589743590,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Opus 5,763cb251b6b4825d,claude-opus-5,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Qwen 3.8,65581815cf47cb5d,,,,2,0,2,"{""OUTPUT_MISSING"": 2}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Qwen 3.8,a568e2740c218e2f,,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,1,1,0,"{""SCORED"": 1}",99,1,99.2307692307692307692307692307692307692307692308,1,99.3846153846153846153846153846153846153846153846,1,99.5384615384615384615384615384615384615384615385,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
A1,Qwen 3.8,cbe37eb4b4cfc204,,,,5,0,5,"{""RUN_OR_COLLECTION_PENDING"": 5}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,GPT-5.6 sol,8ca5d5a4e8e6d50d,,new6-a2-facts-v1.3-real-gdp-labels,,5,5,0,"{""SCORED"": 5}",90.5935459085670380330388013830195927775645,5,90.3983384556281213983864771417595082597008125,5,90.33326930464848252016903572800614675374625,5,90.2682001536688436419515943142527852477916875,5,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,GPT-5.6 sol,8ca5d5a4e8e6d50d,,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,2,2,0,"{""SCORED"": 2}",99.70034575489819439108720706876680752977275,2,99.74428543987706492508643872454859777180046875,2,99.758932001536688436419515943142527852476375,2,99.77357856319631194775259316173645793315228125,2,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,GPT-5.6 sol,8ca5d5a4e8e6d50d,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Opus 5,763cb251b6b4825d,claude-opus-5,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,2,2,0,"{""SCORED"": 2}",32.3862666945379765429029852432713385008245,0,29.7532779979548484780004971639059004316284375,0,28.87561509909380578969966780411742107522975,0,27.9979522002327631013988384443289417188310625,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Opus 5,763cb251b6b4825d,claude-opus-5,,,4,0,4,"{""JUDGE_ERROR"": 4}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Opus 5,763cb251b6b4825d,claude-opus-5-thinking-high,,,2,0,2,"{""OUTPUT_MISSING"": 1, ""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Qwen 3.8,65581815cf47cb5d,,,,2,0,2,"{""OUTPUT_MISSING"": 1, ""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
A2,Qwen 3.8,cbe37eb4b4cfc204,,,,6,0,6,"{""RUN_OR_COLLECTION_PENDING"": 4, ""OUTPUT_MISSING"": 2}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,GPT-5.6 sol,8ca5d5a4e8e6d50d,,new6-b1-reader-v2.5-declared-traceability,,8,8,0,"{""SCORED"": 8}",99.6691101738531985,8,99.7355658645241149175824175824175824175824175824,8,99.7798696583047258626373626373626373626373626374,8,99.8241734520853368076923076923076923076923076923,8,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Opus 5,763cb251b6b4825d,claude-opus-5,new6-b1-reader-v2.5-declared-traceability,,2,2,0,"{""SCORED"": 2}",61.51027040495966063,0,69.9346402382473576274725274725274725274725274725,1,75.5508867937724889591208791208791208791208791208,2,81.1671333492976202907692307692307692307692307692,2,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Opus 5,763cb251b6b4825d,claude-opus-5,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,1,1,0,"{""SCORED"": 1}",48.464891429840862355,0,49.3685978031742891741758241758241758241758241758,0,49.9710687187299070536263736263736263736263736264,0,50.5735396342855249330769230769230769230769230769,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Opus 5,763cb251b6b4825d,claude-opus-5,,,3,0,3,"{""JUDGE_ERROR"": 3}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Opus 5,763cb251b6b4825d,claude-opus-5-thinking-high,,,2,0,2,"{""JUDGE_ERROR"": 1, ""OUTPUT_MISSING"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,43e4a9c77eff4d0f,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,65581815cf47cb5d,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,8bc199823babfb1b,,new6-b1-reader-v2.5-declared-traceability,,3,3,0,"{""SCORED"": 3}",99.9333333333333333333333333333333333333333333333,3,99.9487179487179487179487179487179487179487179487,3,99.9589743589743589743589743589743589743589743590,3,99.9692307692307692307692307692307692307692307692,3,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,8bc199823babfb1b,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,a568e2740c218e2f,,,34374f08f331e7184010c40b401f1630a49df394,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B1,Qwen 3.8,e5c00a4b8d2c76fd,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,GPT-5.6 sol,868f3be7850eba7a,,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,5,5,0,"{""SCORED"": 5}",89.68214285714285784,5,88.5686813186813199032967032967032967032967032967,5,87.8263736263736279454945054945054945054945054945,5,87.0840659340659359876923076923076923076923076923,5,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,GPT-5.6 sol,868f3be7850eba7a,,new6-b2-three-release-v3.2-labelled-code-lists,,3,3,0,"{""SCORED"": 3}",91.8571428571428571666666666666666666666666666667,3,89.7802197802197806776556776556776556776556776557,3,88.3956043956043963516483516483516483516483516484,3,87.0109890109890120256410256410256410256410256410,3,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Opus 5,763cb251b6b4825d,claude-opus-5,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,1,1,0,"{""SCORED"": 1}",56.15858585858586,0,57.4992784992785010989010989010989010989010989011,0,58.3930735930735951648351648351648351648351648352,0,59.2868686868686892307692307692307692307692307692,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Opus 5,763cb251b6b4825d,claude-opus-5,new6-b2-three-release-v3.2-labelled-code-lists,,2,2,0,"{""SCORED"": 2}",55.80764790764790865,0,53.2659562659562671373626373626373626373626373626,0,51.5714951714951727956043956043956043956043956044,0,49.8770340770340784538461538461538461538461538462,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Opus 5,763cb251b6b4825d,claude-opus-5,,,4,0,4,"{""JUDGE_ERROR"": 4}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Opus 5,763cb251b6b4825d,claude-opus-5-thinking-high,,,1,0,1,"{""OUTPUT_MISSING"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Qwen 3.8,4e076136e05655d9,,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,1,1,0,"{""SCORED"": 1}",87.1904761904761895,1,83.1135531135531125824175824175824175824175824176,1,80.3956043956043946373626373626373626373626373626,1,77.6776556776556766923076923076923076923076923077,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
B2,Qwen 3.8,cbe37eb4b4cfc204,,,,7,0,7,"{""RUN_OR_COLLECTION_PENDING"": 7}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,GPT-5.6 sol,868f3be7850eba7a,,new6-c1-review-facts-v2.4-inline-and-bridge,,8,8,0,"{""SCORED"": 8}",89.85125953408058216581107453552025967804875,8,91.6916043238746953114934687062530425617099038462,8,92.9185008504041040752817314867415644841506730770,8,94.1453973769335128390699942672300864065914423077,8,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Opus 5,763cb251b6b4825d,claude-opus-5-thinking-high,,,1,0,1,"{""OUTPUT_MISSING"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Opus 5,d2b93fdc116ca2eb,claude-opus-5,new6-c1-review-facts-v2.4-inline-and-bridge,,2,2,0,"{""SCORED"": 2}",42.42808205556549927410854563172443967146,0,32.6369861965888455954681120244034151318923076923,0,26.1095889572710764763744896195227321055138461538,0,19.5821917179533073572808672146420490791353846154,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Opus 5,d2b93fdc116ca2eb,claude-opus-5,,,5,0,5,"{""JUDGE_ERROR"": 5}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Qwen 3.8,4e076136e05655d9,,,,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Qwen 3.8,98e2a900f84cf581,,,34374f08f331e7184010c40b401f1630a49df394,4,0,4,"{""JUDGE_ERROR"": 4}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Qwen 3.8,a568e2740c218e2f,,,34374f08f331e7184010c40b401f1630a49df394,1,0,1,"{""JUDGE_ERROR"": 1}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C1,Qwen 3.8,cbe37eb4b4cfc204,,,,2,0,2,"{""RUN_OR_COLLECTION_PENDING"": 2}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,GPT-5.6 sol,8ca5d5a4e8e6d50d,,new6-usps-facts-v2.4-natural-quote-layouts,,3,3,0,"{""SCORED"": 3}",49.9421134421134421134421134417666666666666666667,1,44.0114159344928575697806467036666666666666666667,1,40.0576175960791345406730022116,1,36.1038192576654115115653577195333333333333333334,1,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,GPT-5.6 sol,8ca5d5a4e8e6d50d,,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,5,5,0,"{""SCORED"": 5}",95.8576423576423576423576423572,5,94.2960885268577576269883962186153846153846153846,5,93.2550526396680242834088987928923076923076923077,4,92.2140167524782909398294013671692307692307692308,4,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,Opus 5,763cb251b6b4825d,claude-opus-5,new6-usps-facts-v2.4-natural-quote-layouts,,1,1,0,"{""SCORED"": 1}",64.8076923076923076923076923075,0,49.8520710059171597633136094673076923076923076923,0,39.8816568047337278106508875738461538461538461538,0,29.9112426035502958579881656803846153846153846154,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,Opus 5,763cb251b6b4825d,claude-opus-5,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,2,2,0,"{""SCORED"": 2}",62.613182948004376575805147232,0,53.4087421278355344289410223457692307692307692308,0,47.2724482477229729976982724216153846153846153846,0,41.1361543676104115664555224974615384615384615384,0,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,Opus 5,763cb251b6b4825d,claude-opus-5,,,3,0,3,"{""JUDGE_ERROR"": 3}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
C2,Opus 5,763cb251b6b4825d,claude-opus-5-thinking-high,,,2,0,2,"{""OUTPUT_MISSING"": 2}",,,,,,,,,,,No full original configuration population certified under one selected Judge; model identity not certified.
