id,criterion,n,stddev,below_0_05
B2-reference,total,5,0.0,True
B2-reference,R001,5,0.0,True
B2-reference,R002,5,0.0,True
B2-reference,R003,5,0.0,True
B2-reference,R004,5,0.0,True
B2-reference,R005,5,0.0,True
B1-reference,total,5,0.0,True
B1-reference,R001,5,0.0,True
B1-reference,R002,5,0.0,True
B1-reference,R003,5,0.0,True
B1-reference,R004,5,0.0,True
B1-reference,R005,5,0.0,True
B1-reference,R006,5,0.0,True
B1-reference,R007,5,0.0,True
B1-reference,R008,5,0.0,True
A2-reference,total,5,0.0,True
A2-reference,R001,5,0.0,True
A2-reference,R002,5,0.0,True
A2-reference,R003,5,0.0,True
A2-reference,R004,5,0.0,True
A2-reference,R005,5,0.0,True
A2-reference,R006,5,0.0,True
A1-reference,total,5,0.0,True
A1-reference,R001,5,0.0,True
A1-reference,R002,5,0.0,True
A1-reference,R003,5,0.0,True
A1-reference,R004,5,0.0,True
A1-reference,R005,5,0.0,True
A1-reference,R006,5,0.0,True
C1-reference,total,5,0.0,True
C1-reference,R001,5,0.0,True
C1-reference,R002,5,0.0,True
C1-reference,R003,5,0.0,True
C1-reference,R004,5,0.0,True
C1-reference,R005,5,0.0,True
C1-reference,R006,5,0.0,True
C2-reference,total,5,0.0,True
C2-reference,R001,5,0.0,True
C2-reference,R002,5,0.0,True
C2-reference,R003,5,0.0,True
C2-reference,R004,5,0.0,True
C2-reference,R005,5,0.0,True
C2-reference,R006,5,0.0,True
