task,display_system,slots,n,unscored,status_counts,judge_labels,config_count,scope,mean_original_points,passes_original,mean_50_points,passes_50,mean_60_points,passes_60,mean_70_points,passes_70,pass_at_1,pass_at_8,pass_k_reason
A1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",new6-a1-v1.3-proven-formula-defects,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,90.4508224864419503,7,90.6848758580570837115384615384615384615384615385,7,90.8409114391338393192307692307692307692307692308,7,90.9969470202105949269230769230769230769230769231,7,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
A1,Opus 5,8,7,1,"{""SCORED"": 7, ""JUDGE_ERROR"": 1}",new6-a1-offline-v1.4-base-controls|new6-a1-v1.3-proven-formula-defects,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,55.9107471775212089428571428571428571428571428571,1,52.6945485201067082857142857142857142857142857143,1,50.5504160818303745142857142857142857142857142857,1,48.4062836435540407428571428571428571428571428572,1,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
A1,Qwen 3.8,8,0,8,"{""OUTPUT_MISSING"": 2, ""RUN_OR_COLLECTION_PENDING"": 6}",,3,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,,,,,,,,,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
A2,GPT-5.6 sol,8,7,1,"{""SCORED"": 7, ""JUDGE_ERROR"": 1}",new6-a2-facts-v1.3-real-gdp-labels|new6-a2-offline-v1.4-report-roles,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,93.1954887218045112781954887218045112781954285714,7,93.0686090225563909774436090225563909774435714286,7,93.0263157894736842105263157894736842105262857143,7,92.984022556390977443609022556390977443609,7,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
A2,Opus 5,8,2,6,"{""JUDGE_ERROR"": 5, ""SCORED"": 2, ""OUTPUT_MISSING"": 1}",new6-a2-offline-v1.4-report-roles,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,32.3862666945379765429029852432713385008245,0,29.7532779979548484780004971639059004316284375,0,28.87561509909380578969966780411742107522975,0,27.9979522002327631013988384443289417188310625,0,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
A2,Qwen 3.8,8,0,8,"{""RUN_OR_COLLECTION_PENDING"": 4, ""OUTPUT_MISSING"": 3, ""JUDGE_ERROR"": 1}",,2,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,,,,,,,,,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",new6-b1-reader-v2.5-declared-traceability,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,99.6691101738531985,8,99.7355658645241149175824175824175824175824175824,8,99.7798696583047258626373626373626373626373626374,8,99.8241734520853368076923076923076923076923076923,8,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B1,Opus 5,8,3,5,"{""JUDGE_ERROR"": 4, ""SCORED"": 3, ""OUTPUT_MISSING"": 1}",new6-b1-reader-v2.5-declared-traceability|release_lock:new6-offline-reader-v1,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,57.1618107465867278716666666666666666666666666667,0,63.0792927598896681430402930402930402930402930403,1,67.0242807687582949906227106227106227106227106227,2,70.9692687776269218382051282051282051282051282051,2,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B1,Qwen 3.8,8,3,5,"{""SCORED"": 3, ""JUDGE_ERROR"": 4, ""RUN_OR_COLLECTION_PENDING"": 1}",new6-b1-reader-v2.5-declared-traceability,4,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,99.9333333333333333333333333333333333333333333333,3,99.9487179487179487179487179487179487179487179487,3,99.9589743589743589743589743589743589743589743590,3,99.9692307692307692307692307692307692307692307692,3,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B2,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",new6-b2-offline-v3.3-chart-roles|new6-b2-three-release-v3.2-labelled-code-lists,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,90.4977678571428575875,8,89.0230082417582426936813186813186813186813186813,8,88.0398351648351660978021978021978021978021978022,8,87.0566620879120895019230769230769230769230769231,8,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B2,Opus 5,8,3,5,"{""SCORED"": 3, ""JUDGE_ERROR"": 4, ""OUTPUT_MISSING"": 1}",new6-b2-offline-v3.3-chart-roles|new6-b2-three-release-v3.2-labelled-code-lists,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,55.9246272246272257666666666666666666666666666667,0,54.6770636770636784578754578754578754578754578755,0,53.8453546453546469186813186813186813186813186813,0,53.0136456136456153794871794871794871794871794872,0,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
B2,Qwen 3.8,8,1,7,"{""RUN_OR_COLLECTION_PENDING"": 7, ""SCORED"": 1}",new6-b2-offline-v3.3-chart-roles,2,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,87.1904761904761895,1,83.1135531135531125824175824175824175824175824176,1,80.3956043956043946373626373626373626373626373626,1,77.6776556776556766923076923076923076923076923077,1,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
C1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",new6-c1-review-facts-v2.4-inline-and-bridge,1,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,89.85125953408058216581107453552025967804875,8,91.6916043238746953114934687062530425617099038462,8,92.9185008504041040752817314867415644841506730770,8,94.1453973769335128390699942672300864065914423077,8,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
C1,Opus 5,8,2,6,"{""SCORED"": 2, ""JUDGE_ERROR"": 5, ""OUTPUT_MISSING"": 1}",new6-c1-review-facts-v2.4-inline-and-bridge,2,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,42.42808205556549927410854563172443967146,0,32.6369861965888455954681120244034151318923076923,0,26.1095889572710764763744896195227321055138461538,0,19.5821917179533073572808672146420490791353846154,0,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
C1,Qwen 3.8,8,0,8,"{""RUN_OR_COLLECTION_PENDING"": 7, ""JUDGE_ERROR"": 1}",,3,DESCRIPTIVE_OVERVIEW_MIXED_JUDGE_CONFIGURATION,,,,,,,,,,,No full original configuration population is certified under one selected Judge; source selection is post-hoc. Model identity/acceptance not certified.
